date,href,name
2009.02.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13696,SRM 434
2009.01.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13695,SRM 433
2009.01.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13694,SRM 432
2008.12.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13522,SRM 431
2008.12.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13521,SRM 430
2008.12.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13678,TC China 08 - Finals
2003.10.22,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4703,TCO '03 Round 2
2003.10.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4645,SRM 168
2003.10.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4702,TCO '03 Round 1
2003.10.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4640,SRM 167
2003.10.09,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4701,TCO '03 Qual. Round 2
2003.10.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4700,TCO '03 Qual. Round 1
2003.10.01,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4635,SRM 166
2003.09.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4630,SRM 165
2003.09.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4625,SRM 164
2003.09.08,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4620,SRM 163
2003.09.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4615,SRM 162
2003.08.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4610,SRM 161
2003.08.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4605,SRM 160
2013.06.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15502,SRM 582
2013.06.08,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15686,TCO13 Round 3A
2013.06.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15501,SRM 581
2013.05.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15500,SRM 580
2013.05.18,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15499,SRM 579
2013.05.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15656,TCO13 Parallel Round 2C
2013.05.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15653,TCO13 Round 2C
2013.05.02,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15498,SRM 578
2013.04.26,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15497,SRM 577
2013.04.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15634,TCO13 Parallel Round 2B
2013.04.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15633,TCO13 Round 2B
2013.04.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15496,SRM 576
2013.04.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15495,SRM 575
2013.03.31,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15594,TCO13 Round 2A
2013.03.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15494,SRM 574
2013.03.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15493,SRM 573
2013.03.09,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15585,TCO13 Round 1C
2013.03.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15492,SRM 572
2013.03.02,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15580,TCO13 Round 1B
2013.02.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15571,TCO13 Round 1A
2013.02.19,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15491,SRM 571
2013.02.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15490,SRM 570
2013.02.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15489,SRM 569
2013.01.29,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15488,SRM 568
2013.01.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=15487,SRM 567
2008.12.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13677,TC China 08 - 1E
2008.12.11,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13520,SRM 429
2008.12.10,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13676,TC China 08 - 1D
2008.12.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13675,TC China 08 - 1C
2008.12.02,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13519,SRM 428
2008.11.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13674,TC China 08 - 1B
2008.11.25,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13518,SRM 427
2008.11.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13673,TC China 08 - 1A
2008.11.22,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13517,SRM 426
2008.11.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13516,SRM 425
2008.11.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13515,SRM 424
2008.10.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13514,SRM 423
2008.10.18,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13513,SRM 422
2008.10.08,http://community.topcoder.com//stat?c=round_overview&er=5&rd=13512,SRM 421
